"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"143. Archer";"2009–2023";"TV-MA";8,6;"166K";"Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones."
"144. The IT Crowd";"2006–2013";"TV-14";8,5;"165K";"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
"145. NCIS";"2003–";"TV-14";7,8;"164K";"Follows the Major Case Response Team (MCRT) from the Naval Criminal Investigative Service (NCIS), as they get to the bottom of criminal cases connected to Navy and Marine Corps personnel."
"146. Teen Wolf";"2011–2017";"TV-14";7,7;"164K";"An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills."
"147. Sense8";"2015–2018";"TV-MA";8,2;"163K";"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
"148. Buffy the Vampire Slayer";"1997–2003";"TV-14";8,3;"160K";"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
"149. This Is Us";"2016–2022";"TV-14";8,7;"160K";"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
"150. Only Murders in the Building";"2021–";"TV-MA";8,1;"157K";"Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder."
"151. Monster";"2022–2024";"TV-MA";7,9;"157K";"The story of a cannibalistic serial killer named Jeffrey Dahmer, a.k.a. the Milwaukee Monster."
"152. Glee";"2009–2015";"TV-PG";6,8;"156K";"A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher."
"153. Riverdale";"2017–2023";"TV-14";6,5;"156K";"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
"154. Luther";"2010–2019";"TV-MA";8,4;"155K";"John Luther is a brilliant homicide detective with a knack for getting inside the minds of murderers. Unfortunately, his unconventional methods and personal demons put him at odds with his team."
"155. After Life";"2019–2022";"TV-MA";8,4;"154K";"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm."
"156. Freaks and Geeks";"1999–2000";"TV-14";8,8;"154K";"A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year."
"157. One Piece";"2023–";"TV-14";8,4;"151K";"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King, and to discover the mythical treasure known as 'One Piece.'"
"158. Six Feet Under";"2001–2005";"TV-MA";8,7;"150K";"A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles."
"159. Demon Slayer: Kimetsu no Yaiba";"2019–";"TV-MA";8,6;"150K";"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
"160. Taboo";"2017";"TV-MA";8,3;"149K";"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder."
"161. Gilmore Girls";"2000–2007";"TV-PG";8,2;"149K";"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut."
"162. Bodyguard";"2018";"TV-MA";8;"149K";"Troubled war veteran turned Police Officer David Budd is assigned to the Metropolitan Police's Specialist Protection Branch."
"163. The Originals";"2013–2018";"TV-14";8,3;"149K";"A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong."
"164. Dragon Ball Z";"1996–2003";"TV-PG";8,8;"149K";"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
"165. Curb Your Enthusiasm";"2000–2024";"TV-MA";8,8;"148K";"Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events."
