"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"166. Chuck";"2007–2012";"TV-14";8,2;"147K";"When a computer geek inadvertently downloads critical government secrets into his brain, both the CIA and the NSA assign an agent to protect him and exploit his newfound skills."
"167. Schitt's Creek";"2015–2020";"TV-14";8,5;"147K";"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
"168. The Fresh Prince of Bel-Air";"1990–1996";"TV-PG";7,9;"145K";"A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion."
"169. Fear the Walking Dead";"2015–2023";"TV-MA";6,8;"145K";"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse."
"170. Sex and the City";"1998–2004";"TV-MA";7,3;"144K";"Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s."
"171. The Marvelous Mrs. Maisel";"2017–2023";"TV-MA";8,7;"143K";"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?"
"172. What If...?";"2021–";"TV-14";7,4;"143K";"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
"173. Malcolm in the Middle";"2000–2006";"TV-PG";8,2;"143K";"A gifted young teen tries to survive life with his dimwitted, dysfunctional family."
"174. White Collar";"2009–2014";"TV-PG";8,2;"142K";"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman."
"175. Desperate Housewives";"2004–2012";"TV-14";7,6;"140K";"Secrets and truths unfold through the lives of female friends in one suburban neighborhood after the mysterious suicide of a neighbor."
"176. Iron Fist";"2017–2018";"TV-MA";6,4;"140K";"A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist."
"177. Luke Cage";"2016–2018";"TV-MA";7,2;"140K";"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city."
"178. Cowboy Bebop";"1998–1999";"TV-14";8,9;"140K";"The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners."
"179. The Sinner";"2017–2021";"TV-MA";7,9;"140K";"Detective Ambrose employs some unusual tactics and a deep capacity for empathy to solve his cases. His boundless dedication is driven by his dark past, leading him into powerful and often dangerously intimate bonds with his suspects."
"180. Lupin";"2021–";"TV-MA";7,5;"139K";"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
"181. The Legend of Korra";"2012–2014";"TV-PG";8,3;"139K";"Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds."
"182. Smallville";"2001–2017";"TV-PG";7,5;"139K";"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas."
"183. The Wheel of Time";"2021–";"TV-14";7,2;"138K";"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
"184. Beef";"2023–";"TV-MA";8;"137K";"Two people let a road rage incident burrow into their minds and slowly consume their every thought and action."
"185. Star Trek: The Next Generation";"1987–1994";"TV-PG";8,7;"137K";"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
"186. Killing Eve";"2018–2022";"TV-14";8,1;"137K";"After a series of events, the lives of a security operative and an assassin become inextricably linked."
"187. Hunter x Hunter";"2011–2014";"TV-14";9;"137K";"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
"188. American Dad!";"2005–";"TV-MA";7,4;"137K";"The escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe."
"189. Star Trek: Discovery";"2017–2024";"TV-14";7;"137K";"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
"190. Gravity Falls";"2012–2016";"TV-Y7";8,9;"137K";"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
"191. Peacemaker";"2022–";"TV-MA";8,3;"136K";"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
"192. Mr. Bean";"1990–1995";"Not Rated";8,6;"134K";"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems."
"193. King the Land";"2023";"TV-14";5,1;"134K";"Amid a tense inheritance fight, a charming heir clashes with his hardworking employee who's known for her irresistible smile, which he cannot stand."
"194. 30 Rock";"2006–2013";"TV-14";8,3;"132K";"Liz Lemon, head writer of the sketch-comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star while trying to run a successful television show without losing her mind."
"195. Penny Dreadful";"2014–2016";"TV-MA";8,2;"131K";"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London."
"196. Grimm";"2011–2017";"TV-14";7,9;"131K";"A homicide detective discovers he is a descendant of hunters who fight supernatural forces."
"197. The Morning Show";"2019–";"TV-MA";8,2;"131K";"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the team."
"198. Supergirl";"2015–2021";"TV-PG";6,2;"130K";"The adventures of Superman's cousin and her own superhero career."
"199. Shōgun";"2024–2026";"TV-MA";8,7;"129K";"When a mysterious European ship is found marooned in a nearby fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies."
"200. Naruto";"2002–2007";"TV-PG";8,4;"128K";"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
"201. Lie to Me";"2009–2011";"TV-14";8;"128K";"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies."
"202. Broadchurch";"2013–2017";"TV-MA";8,4;"128K";"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart."
"203. Top Gear";"2002–2022";"TV-PG";8,7;"127K";"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all."
"204. Law & Order: Special Victims Unit";"1999–";"TV-14";8,1;"126K";"This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes."
"205. Revenge";"2011–2015";"TV-14";7,8;"125K";"An emotionally troubled young woman sets out to exact revenge against the people who wronged her father."
"206. The Newsroom";"2012–2014";"TV-MA";8,6;"125K";"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor."
"207. Banshee";"2013–2016";"TV-MA";8,4;"124K";"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business."
"208. The Killing";"2011–2014";"TV-14";8,3;"124K";"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
"209. The Office";"2001–2003";"TV-MA";8,5;"123K";"The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives."
"210. Barry";"2018–2023";"TV-MA";8,3;"123K";"A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene."
"211. Silo";"2023–";"TV-MA";8,1;"123K";"Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface."
"212. Dhindora";"2021–";"Not Rated";8,8;"122K";"It revolves around Bhuvan and his family's everyday lives, when an unexpected purchase leads to a series of events and depicts every common man's larger than life dreams."
"213. Star Wars: The Clone Wars";"2008–2020";"TV-PG";8,4;"121K";"Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists."
"214. The Fall";"2013–2016";"TV-MA";8,1;"120K";"A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity."
"215. Elementary";"2012–2019";"TV-14";7,9;"119K";"A crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London, eccentric Sherlock escapes to New York where his father forces him to live with his worst nightmare - a sober companion, Dr. Watson."
"216. Justified";"2010–2015";"TV-MA";8,6;"119K";"Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need."
"217. Deadwood";"2004–2006";"TV-MA";8,6;"118K";"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime."
"218. Jujutsu Kaisen";"2020–";"TV-MA";8,6;"118K";"A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself."
"219. Batman: The Animated Series";"1992–1995";"TV-PG";9;"118K";"The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl."
